CouncillorId,CouncillorName,Active,GenderAsString,CantonAbbreviation,ParlGroupAbbreviation,PartyAbbreviation,MaritalStatusText,DateJoining,DateLeaving,DateOfBirth,DateOfDeath
4215,Brunner Hansjörg,True,m,TG,RL,PLR,marié(e),11/27/2017,,11/23/1966,
4216,Gutjahr Diana,True,f,TG,V,UDC,,11/27/2017,,1/13/1984,
4217,Cattaneo Rocco,True,m,TI,RL,PLR,marié(e),11/27/2017,,12/6/1958,
4218,Kälin Irène,True,f,AG,G,PES,célibataire,11/27/2017,,2/6/1987,
4219,Crottaz Brigitte,True,f,VD,S,PSS,,2/26/2018,,10/6/1957,
4220,Roduit Benjamin,True,m,VS,C,PDC,marié(e),2/26/2018,,11/22/1962,
4221,Töngi Michael,True,m,LU,G,PES,,3/12/2018,,3/16/1967,
4222,Paganini Nicolo,True,m,SG,C,PDC,marié(e),3/12/2018,,6/8/1966,
4223,Molina Fabian,True,m,ZH,S,PSS,célibataire,3/15/2018,,7/8/1990,
4224,Wasserfallen Flavia,True,f,BE,S,PSS,marié(e),5/29/2018,,2/7/1979,
4225,Kutter Philipp,True,m,ZH,C,PDC,marié(e),6/11/2018,,8/31/1975,
4226,Wüthrich Adrian,True,m,BE,S,PSS,marié(e),5/29/2018,,5/7/1980,
4227,Frei Daniel,True,m,ZH,S,PSS,,12/10/2018,,2/5/1979,
4228,Marti Samira,True,f,BL,S,PSS,,12/10/2018,,1/23/1994,
4229,Egger Mike,True,m,SG,V,UDC,célibataire,3/4/2019,,8/2/1992,
4230,Bregy Philipp Matthias,True,m,VS,C,CVPO,marié(e),3/4/2019,,7/7/1978,
4232,Rochat Fernandez Nicolas,True,m,VD,S,PSS,,5/7/2019,,12/9/1982,
4234,Schläpfer Therese,True,f,ZH,V,UDC,marié(e),6/3/2019,,4/14/1959,
4236,Haab Martin,True,m,ZH,V,UDC,,6/3/2019,,5/3/1962,
